Player,Runs,Balls,4s,6s,SR,Dismissal,Wicket_Taker,MatchID,Team,Match,Date,Teams
Sourav Ganguly,10,12,2,0,83.33,Catch Out,Khan,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Brendon McCullum,158,73,10,13,216.44,Not out,Not applicable,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ricky Ponting,20,20,1,1,100.00,Catch Out,Kallis,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
David Hussey,12,12,1,0,100.00,Catch Out,Noffke,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Mohammad Hafeez,5,3,1,0,166.67,Not out,Not applicable,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Rahul Dravid,2,3,0,0,66.67,Bowled,Sharma,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Wasim Jaffer,6,16,0,0,37.50,Catch Out,Dinda,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Virat Kohli,1,5,0,0,20.00,Bowled,Dinda,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Jacques Kallis,8,7,0,1,114.29,Catch Out,Agarkar,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Cameron White,6,10,0,0,60.00,Catch Out,Agarkar,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Mark Boucher,7,9,1,0,77.78,Catch Out,Ganguly,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Balachandra Akhil,0,2,0,0,0.00,Catch Out,Agarkar,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ashley Noffke,9,10,1,0,90.00,Run out,Not applicable,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Praveen Kumar,18,15,1,2,120.00,Not out,Not applicable,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Zaheer Khan,3,8,0,0,37.50,Bowled,Ganguly,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Sunil Joshi,3,6,0,0,50.00,Catch Out,Shukla,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Parthiv Patel,15,10,3,0,150.00,Catch Out,Lee,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Matthew Hayden,25,17,4,1,147.06,Bowled,Pathan,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Michael Hussey,116,54,8,9,214.81,Not out,Not applicable,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
M S Dhoni,2,3,0,0,66.67,LBW,Hopes,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Suresh Raina,32,13,2,3,246.15,Catch Out,Mota,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Jacob Oram,13,10,0,1,130.00,Bowled,Pathan,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
