ID,Match,Date,Teams,Ground,Result,Scorecard,Season,Winner,Margin,Day_of_Week,Month,Year,Team1,Team2
1,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders,"Bengaluru, Bangalore",Kolkata Knight Riders won by 140 Runs,MatchScorecard.asp?MatchCode=0001,2008.0,Kolkata Knight Riders,140 Runs,Friday,April,2008,Royal Challengers Bengaluru,Kolkata Knight Riders
2,2,2008-04-19,Punjab Kings v Chennai Super Kings,"Mohali, Chandigarh",Chennai Super Kings won by 33 Runs,MatchScorecard.asp?MatchCode=0002,2008.0,Chennai Super Kings,33 Runs,Saturday,April,2008,Punjab Kings,Chennai Super Kings
3,3,2008-04-19,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 9 Wickets,MatchScorecard.asp?MatchCode=0003,2008.0,Delhi Capitals,9 Wickets,Saturday,April,2008,Delhi Capitals,Rajasthan Royals
4,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers,Kolkata,Kolkata Knight Riders won by 5 Wickets,MatchScorecard.asp?MatchCode=0004,2008.0,Kolkata Knight Riders,5 Wickets,Sunday,April,2008,Kolkata Knight Riders,Deccan Chargers
5,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru,Mumbai,Royal Challengers Bengaluru won by 5 Wickets,MatchScorecard.asp?MatchCode=0005,2008.0,Royal Challengers Bengaluru,5 Wickets,Sunday,April,2008,Mumbai Indians,Royal Challengers Bengaluru
6,6,2008-04-21,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 6 Wickets,MatchScorecard.asp?MatchCode=0006,2008.0,Rajasthan Royals,6 Wickets,Monday,April,2008,Rajasthan Royals,Punjab Kings
7,7,2008-04-22,Deccan Chargers v Delhi Capitals,Hyderabad,Delhi Capitals won by 9 Wickets,MatchScorecard.asp?MatchCode=0007,2008.0,Delhi Capitals,9 Wickets,Tuesday,April,2008,Deccan Chargers,Delhi Capitals
8,8,2008-04-23,Chennai Super Kings v Mumbai Indians,Chennai,Chennai Super Kings won by 6 Runs,MatchScorecard.asp?MatchCode=0008,2008.0,Chennai Super Kings,6 Runs,Wednesday,April,2008,Chennai Super Kings,Mumbai Indians
9,9,2008-04-24,Deccan Chargers v Rajasthan Royals,Hyderabad,Rajasthan Royals won by 3 Wickets,MatchScorecard.asp?MatchCode=0009,2008.0,Rajasthan Royals,3 Wickets,Thursday,April,2008,Deccan Chargers,Rajasthan Royals
10,10,2008-04-25,Punjab Kings v Mumbai Indians,"Mohali, Chandigarh",Punjab Kings won by 66 Runs,MatchScorecard.asp?MatchCode=0010,2008.0,Punjab Kings,66 Runs,Friday,April,2008,Punjab Kings,Mumbai Indians
