Player,Overs,Runs,Wickets,ER,MatchID,Team,Match,Date,Teams
Praveen Kumar,4.0,0,38,0,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Zaheer Khan,4.0,0,38,1,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ashley Noffke,4.0,0,40,1,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Jacques Kallis,4.0,0,48,1,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Sunil Joshi,3.0,0,26,0,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Cameron White,1.0,0,24,0,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ashok Dinda,3.0,0,9,2,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ishant Sharma,3.0,0,7,1,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ajit Agarkar,4.0,0,25,3,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Sourav Ganguly,4.0,0,21,2,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Laxmi Shukla,1.1,0,12,1,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Brett Lee,4.0,0,35,1,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Sreesanth,3.0,0,35,0,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
James Hopes,4.0,0,53,1,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Irfan Pathan,4.0,0,47,2,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Karan Goel,2.0,0,25,0,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Piyush Chawla,1.0,0,19,0,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Wilkin Mota,2.0,0,24,1,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Jacob Oram,4.0,0,37,0,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Manpreet Gony,4.0,0,42,1,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Muttiah Muralitharan,4.0,0,33,1,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Palani Amarnath,4.0,0,42,1,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Joginder Sharma,4.0,0,47,1,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Glenn McGrath,4.0,1,21,1,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Brett Geeves,4.0,0,41,0,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Farveez Maharoof,4.0,0,11,2,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Rajat Bhatia,4.0,0,17,2,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Daniel Vettori,4.0,0,35,1,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Munaf Patel,3.0,0,25,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Shane Watson,4.0,0,31,1,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Siddharth Trivedi,3.0,0,32,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Shane Warne,2.0,0,16,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Yusuf Pathan,2.1,0,17,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Dinesh Salunkhe,1.0,0,11,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Ashok Dinda,3.0,0,18,1,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Ishant Sharma,3.0,1,9,1,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Ajit Agarkar,2.0,0,19,2,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Murali Kartik,3.4,0,17,3,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Mohammad Hafeez,4.0,0,8,1,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
David Hussey,3.0,0,35,1,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Chaminda Vaas,3.0,0,9,2,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
R P Singh,3.0,0,15,1,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Scott Styris,4.0,0,19,0,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Sanjay Bangar,3.0,0,19,0,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Andrew Symonds,2.0,0,20,0,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Pragyan Ojha,4.0,0,18,2,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Praveen Kumar,4.0,0,29,1,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Zaheer Khan,4.0,0,17,2,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
